URL,Version,Status,OIDs,Name,Title,Description,Used
http://helsenorge.no/fhir/CodeSystem/henvisningsstatus,1.2.0,active,,HnHenvisningsstatus,Henvisningsstatus (HIS 1206),"Koder som angir status for henvisning i henhold til HIS 1206:2018.",
http://helsenorge.no/fhir/CodeSystem/hn-kodeverk-varsling.codesystem,1.2.0,active,,HnKodeverkVarsling,Varsling,"Angir om innbygger skal varsles når en ekstern aktør lagrer eller endrer en ressurs på Helsenorge. I tillegg hvordan avsender organisasjonen skal framstå (navn) i SMS- og e-post varsler til innbygger.",
http://helsenorge.no/fhir/CodeSystem/hn-schedule-type-cs,1.2.0,draft,,HnScheduleTypeCS,Codes that should be used for schedule type,"Codes that should be used for schedule type.",
http://helsenorge.no/fhir/CodeSystem/hn-scheduleAndSlot-type-cs,1.2.0,draft,,HnScheduleAndSlotTypeCS,Codes that should be used for schedule and SlotType.,"Codes that should be used for schedule and SlotType.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-1101.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.1101",NoKodeverk1101,1101 Ja, nei,"Dette kodeverket inneholder koder for å angi svar Ja eller Nei.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-3108.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.3108",NoKodeverk3108,3108 Reservasjon mot registrering,"Opplysning om pasienten holdning til registrering av informasjon i register",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-4101.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.4101",NoKodeverk4101,4101 Betalingskategori,"Dette kodeverket inneholder koder som benyttes for å angi hvem som er betalingsansvarlig.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7010-norpat.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7010",NoKodeverk7010NORPAT,Norsk patologikodeverk (NORPAT),"Norsk patologikodeverk er et kodeverk som benyttes ved norske patologiavdelinger. Kodeverket ble utarbeidet av Den norske patologforenings kode- og nomenklaturutvalg i samarbeid med KITH på grunnlag av The Systematized Nomenclature of Medicine (SNOMED, 1984). Endret navn fra Den norske SNOMED til Norsk patologikodeverk 3. november 2015.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7270-ncrp.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7270",NoKodeverk7270NCRP,NCRP,"Kodeverk for radiologi og nukleærmedisin. Kodeverket skal brukes for å dokumentere og skal kunne brukes for å bestille radiologiske tjenester. Det skal benyttes for både polikliniske og innlagte pasienter. Fra 1. januar 2012 har det vært obligatorisk å bruke dette kodeverket for å rapportere poliklinisk radiologisk aktivitet både for offentlige og private virksomheter.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7280-nlk.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7280",NoKodeverk7280NLK,Norsk laboratoriekodeverk,"Norsk laboratoriekodverk er et felles kodeverk for laboratorieanalyser utarbeidet i samarbeid med de laboratoriefaglige miljøene fordelt på 6 spesialiteter: Immunologi og transfusjonsmedisin, Klinisk farmakologi, Medisinsk biokjemi, Medisinsk genetikk, Medisinsk mikrobiologi og Patologi.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7303.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7303",NoKodeverk7303,7303 Svarrapporteringsprioritet,"Svarrapporteringsprioritet. Kodeverket har ikke noen beskrivelse.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7305.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7305",NoKodeverk7305,7305 Moderator,"Tilleggsopplysning til diagnose.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7611.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7611",NoKodeverk7611,7611 Representasjonsrolle.,"Dersom en innbygger benytter dialogtjenester på vegne av pasient fra helsenorge.no så skal informasjon om hvem som benytter tjeneste oppgis vha. objektet Pasientrelasjon. Pasienten oppgis som vanlig under patient-tagen i Hodemeldingen, mens personen som benytter en dialogtjeneste på vegne av pasienten skal oppgis i objektet Pasientrelasjon. Relasjon angir her representasjonsolle person som benytter tjeneste har til pasient.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-7617.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.7617",NoKodeverk7617,7617 Timetype innbyggerportal,"Tilleggsopplysning til diagnose.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-8116.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.8116",NoKodeverk8116,8116 ID-type for personer,"Angir type identifikator for personer.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-8202.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.8202",NoKodeverk8202,8202 Type laboratoriemelding,"Fagområde innen laboratoriemedisin og bildediagnstikk. Benyttes for å angi type svarrapport",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-8212.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.8212",NoKodeverk8212,8212 Uspesifisert laboratoriekodeverk,"Dette kodeverk skal benyttes i tilfeller der det er uavklart hvilket type koder som skal være med i en melding. Kodeverket inneholder ingen koder",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-8216.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.8216",NoKodeverk8216,8216 Kodeverk for cytologisk materiale,"Gynekologisk materiale eller annet cytologisk materiale som er tatt for cytologiske undersøkelser. Kodene dekker opp valgmuligheter fra standard rekvisisjonsskjema for cytologiske undersøkelser.",
http://helsenorge.no/fhir/CodeSystem/no-kodeverk-8219.codesystem,1.2.0,active,"2.16.578.1.12.4.1.1.8219",NoKodeverk8219,8219 Kodeverk for patologisk-anatomiske undersøkelser,"Kodene beskriver ulike typer patologi-undersøkelser.",
